Name,Code,Inventory,Perennial Inventory,Genetics,Scientific name,Header,Terms,height (ft),Δh (ft),width (ft),Δw(ft),Google patent,Origin,Use,W2W?,History,2022 ideas,Notes,Supplier notes,Suppliers,Pollinator,Attachments,Perennial Seeding,Pollen Pairing,pecan matrix,pecan matrix 2,Pollen shed start,Pollen shed stop,Pollen receive start,Polle n receive stop,last update,Field 33,Bloom time,Flower,Foliage
Malykin Hemerocallis yellow ,Have,0,,Selection,Hemerocallis sp,Liliaceae (alt Asphodelaceae): Hemerocallis spp (Daylilies),unknown,,,,,,Cultivar,landscaping,,2020-21 winter - moved from between crepe myrtles east of rain garden to meadow part of orchard between N and middle blueberries.,,,,,,,,,,,,,,,7/4/2021 8:38am,,,,
Allium – Cameleon,Interesting,0,,Hybrid,,Liliaceae: Allium spp (domesticated),,0.58,0.80,,,,,deer repellentish,,,,"+Aug 6, 2023 -Looking for front walk plants;
10@ $5.25 , rose to white, late spring/early summer, small",2023 Summer Brent & Becky Review: aflatunense ‘Purple Sensation’ – a perfect name for this variable plant whose clusters of flowers change color from dark rose to white with rose veins; terrific for rock gardens or fronts of dry borders; late spring/early summer; WHZ 5-8; 6″-8″; 4/+ cm.,,,,,,,,,,,,8/20/2023 3:01pm,,"late spring,early summer","rose,white",
Allium moly ‘Jeannine’,Interesting,0,,Selection,Allium  moly ‘Jeannine’,Liliaceae: Allium spp (domesticated),,0.75,,0.30,,,Mediterranean,"deer repellentish,edible",,,,"+Aug 6, 2023 -Looking for front walk plants;
10@$3.75 , yellow, early  summer, small","2023 Summer Brent & Becky Review: moly ‘Jeannine’ – starlike, bright yellow, golfball-sized umbels on 10″- 12″stems sparkle in the early summer garden; great layered with larger Alliums, Sweet William and Dutch Iris; often 2 flower stems; naturalizes freely; WHZ 3-8; 5/+ cm.
WP Allium moly, also known as yellow garlic,[4] golden garlic and lily leek, Is a species of flowering plant in the genus Allium, which also includes the flowering and culinary onions and garlic. A bulbous herbaceous perennial from the Mediterranean,[5][6] it is edible and also used as a medicinal and ornamental plant.[7][8] ",,,,,,,,,,,,5/5/2024 5:31pm,,"spring,early summer",yellow,"blueish green,summer dormant"
Walking onion,Have,3,"""Walking onion (HKEEN, 38)"",""Walking onion (Other, 39)"",""Walking onion (GNWbhN, 40)""",Hybrid,Allium × proliferum,Liliaceae: Allium spp (domesticated),heirloom,,,,,,Europe,"edible,deer repellentish",,"2020-21 winter moved some to HK
20190216-17 planted (Egyptian walking onion) around N & NE garden plot fence line
2018 autumn gave L starts
2017 autumn planted in N border bed
20161009 planted in arc at north end of the glade
20160806 Southern Exposure  $37.65 
1 x Egyptian Walking Onion (Tree Onion) 1 oz. (66604) = $9.95",,"2021: Harvested and dehydrated greens. Powdered/flaked with celery leaf and other spices. Wonderful dried herbal mix. Allowed bubil head to form, harvested plants in clusters. The bulb had a shallot-like clove as well as the stem of the scape. The cloves sliced and dehydrated successfully.

https://dengarden.com/gardening/Growing-and-Using-Egyptian-Onions",,,,,"""Walking onion (Circ, 5)""",,,,,,,,7/4/2021 9:30am,,,,
Allium aflatunense ‘Purple Sensation’,Interesting,0,,Hybrid,Allium aflatunense ‘Purple Sensation’,Liliaceae: Allium spp (domesticated),,2.00,0.80,0.30,,,Central Asia,deer repellentish,,,,"+Aug 6, 2023 -Looking for front walk plants;
5@ $4.25, pink-purple, late spring/early summer, large","2023 Summer Brent & Becky Review: aflatunense ‘Purple Sensation’ – tons of tiny violet purple flowers tightly compressed to look like one gorgeous big, round, baseball-sized flower on a 20″-30″ stem; one of the earliest; late spring/early summer; WHZ 3-8; 12/+ cm. || WP: While it prefers alkaline soil, it can tolerate poor soil conditions, as well as part shade (though it does best in full sun)",Allium aflatunense ‘Purple Sensation’@BrentBecky,,,,,,,,,,,8/6/2023 6:46am,,,,
Allium amplectens 'Graceful Beauty',Interesting,0,,Selection,Allium amplectens 'Graceful Beauty',Liliaceae: Allium spp (domesticated),,0.75,,0.30,,,US - West,deer repellentish,,,,"+Aug 6, 2023 -Looking for front walk plants;
5@$3.75 , white,  summer, small

Circa 1857, this easy-growing American native has up to 3""-wide globes comprised of sparkling, starry white flowers with jewel-like, pale lavender stamens and very pale pink midveins. It is rabbit-, rodent- and deer-resistant yet adored by bees, butterflies and helpful pollinators. Plant Graceful Beauty in substantive clusters for the best effect. Bulb size: 6 cm/up. May/June. HZ: 4-8. Height: 12"" to 16"".","2023 Summer Brent & Becky Review: cGraceful Beauty- tons of incredibly pale pink starry individual florets close together forming a round blossom; each of the stamens is a bit darker in color giving the appearance of a few ‘dots or flecks’; precious and charming; 8″-10″; 6/+ cm.
Allium amplectens 'Graceful Beauty'  -- Blooming in late spring to early summer, this particularly pretty Allium enjoys long-lasting blooms and remains ornamental in the garden well into summer. Clasping on the stems, the narrow leaves usually wither prior to the flower blooming.
WP Allium amplectens, the narrowleaf onion, is a species of onion plant. It is native to the west coast of the United States, in Oregon, Washington State and California, also British Columbia in Canada. It grows in woods and especially in clay and serpentine soils",,,,,,,,,,,,5/5/2024 5:31pm,,"late spring,early summer","white,pink",
Allium christophii,Interesting,0,,Species,Allium christophii,Liliaceae: Allium spp (domesticated),,1.30,0.30,1.00,,,Central Asia,deer repellentish,,,,"+Aug 6, 2023 -Looking for front walk plants;
5@$4.25, silvery-purple, early summer, large","2023 Summer Brent & Becky Review: christophii – lots of loosely formed, starry, silvery amethyst flowers compressed to make one large, round head about the size of a softball; spectacular cut flower; one of the earliest to bloom; 12″-20″; WHZ 3-8; early summer; 1901; 12/+ cm. 
WP: Allium cristophii, the Persian onion or star of Persia, A. cristophii performs best in sun to part shade....[11] It prefers sandy, gritty soil with good drainage, and is best suited to USDA hardiness zones 5–8.[12] ",,,,,,,,,,,,8/20/2023 2:59pm,,early summer,"pink purple,blue purple",
Allium decipiens,Interesting,0,,Species,Allium decipiens,Liliaceae: Allium spp (domesticated),,2.50,0.50,,,,Central Asia,deer repellentish,,,,"+Aug 6, 2023 -Looking for front walk plants;
5@$7, whiteish, mid-late spring, large",2023 Summer Brent & Becky Review: decipiens – pink to lilac florets with green centers make up this 4″- 5″ flower head; glossy green foliage is low to the ground; great as a cut flower; 24″-36″; WHZ 3-8; mid-late spring; 8/+ cm.,,,,,,,,,,,,8/20/2023 3:00pm,,"spring,late spring","pink,white",
Allium kiiense,Interesting,0,,,Allium kiiense,Liliaceae: Allium spp (domesticated),,,,,,,Asia,deer repellentish,,,,"+Aug 20, 2023 -Looking for front walk plants",Plant Delights,,,,,,,,,,,,5/5/2024 5:31pm,,"summer,late autumn",pink purple,evergreen
Allium unifolium,Interesting,0,,Selection,Allium unifolium,Liliaceae: Allium spp (domesticated),,0.75,,0.30,,,US - West,deer repellentish,,,,"+Aug 6, 2023 -Looking for front walk plants;
10@4.75 , pink-purple,  early summer, small","2023 Summer Brent & Becky Review: unifolium – many little florets make the half dollar-sized lavender pinkumbel;nativetoAmericansoils; great under larger Alliums; WHZ 5-8; 12″-18″; early summer; 1873; 5/+ cm.
WP Allium unifolium, the one-leaf onion or American garlic,[4] is a North American species of wild onion. It is native to the coastal mountain ranges of California, Oregon, and Baja California.[1] It grows on clay soils including serpentine, at elevations up to 1100 m.[5][6]",,,,,,,,,,,,5/5/2024 5:31pm,,early summer,pink purple,summer dormant
Allium cernuum (Nodding onion),Interesting,0,,Species,Allium cernuum,Liliaceae: Allium spp (wild),species,,,,,,Chatham,"naturalizing,6h sun per day,2-6h sun per day,evergreen",,,,"'+Aug 20, 2023 -Looking for front walk plants; Perennial Forb/herb, 12-15 in. high, NCBG germ code: 2 ||  SOIL MOISTURE: Dry, Average, Well-drained
LIGHT EXPOSURE: Sun, Part Shade, Shade
MINIMUM HARDINESS ZONE: 3
MAXIMUM HARDINESS ZONE: 9
GERMINATION CODE: 2
WILDLIFE VALUE: Bee Friendly, Butterfly Friendly
DEER RESISTANCE: ","https://www.prairiemoon.com/allium-cernuum-nodding-onion-prairie-moon-nursery.html 
NCBG 2022 Seed offer
Dutch Buffalo Farm list 2022, with origin code 5
",Allium cernuum (Nodding onion)@Dutch Buffalo Farm,,,,,,,,,,,5/5/2024 5:31pm,,summer,"pink purple,pink,white",evergreen
Allium stellatum (Prairie onion),Interesting,0,,Species,Allium stellatum ,Liliaceae: Allium spp (wild),,,,,,,,,,,,"VERY SIMILAR TO NODDING ONION
+Aug 20, 2023 -Looking for front walk plants",https://www.prairiemoon.com/allium-stellatum-prairie-onion-prairie-moon-nursery.html,,,,,,,,,,,,8/20/2023 4:54pm,,summer,pink purple,
Asparagus officinalis (asparagus),Less interesting,0,,Species,Asparagus officinalis (asparagus),Liliaceae: Asparagus officinalis (asparagus),species,,,,,,,edible,,2021 avoid until weed pressure easier.,,"s the driveway island the best place for asparagus? (Morning and full sun?). what about Garden planning: Asparagus Bed upslope from rain garden 

ASPARAGUS needn’t have it’s own patch. The crowns prefer wide spacing, which offers the opportunity to interplant quick growing early spring edibles like radish, beets and greens. Think of this as a miniature form of alley cropping (a technique where farms can slowly transition from annual production to perennial by sowing annual rows between tree crop rows until the trees grow to fill the space). Later in the season asparagus benefits from tomato and basil companionship, which will ward off asparagus beetles. Asparagus in turn can deter nematodes. - https://sowtrueseed.com/blogs/gardening/incorporating-perennials-into-your-annual-garden-or-working-towards-utopia

Ten crowns will fit in a 4-by-8-foot bed and are generally enough to supply a family of four. Try to time your purchase so the asparagus crowns can go in the ground without delay. If you have to store the crowns for more than a day or two, place them in a bucket of moist sand in a basement or other cool environment until you are ready to plant. -- http://modernfarmer.com/2015/04/how-to-plant-asparagus/

Asparagus needs well-drained soil and at least eight hours of sunlight per day. Asparagus will grow in dappled shade. https://homeguides.sfgate.com/grow-asparagus-shade-32239.html

The recommended amount of sunlight to grow asparagus is 7 to 8 hours a day. Morning sunlight will be essential and 6 hours should be considered a minimum. … consider planting your asparagus as a border plant. You will only be harvesting the choicest spears, allowing the remainder to mature and develop the ferny headpiece that is critical to energizing the crowns for next year's harvest. http://blog.gardenharvestsupply.com/2011/12/19/just-about-everything-about-asparagus-2/

Consider Papaveraceae: Papaver somniferum (breadseed poppy) & asparagus
Asparagus with California poppies as companions here
Asparagus companions/antagonists, flowers (basil, parsley, dill, coneflowers, marigolds)
Crowns shipped March, spears May, June; poppies bloomed June, done a month later",,,,,,,,,,,,,7/4/2021 8:41am,,,,
Malykin white hyacinth,Have,2,"""Malykin white hyacinth (OSB, 7)"",""Malykin white hyacinth (OSB, 8)""",Clone,Hyacinthus orientalis,Liliaceae: Hyacinthus orientalis (hyacinth),unknown,,,,,,Cultivar,landscaping,,"20210301 two separate sprouts
20191229 transplanted it to the house side of the S berm, just to the west of the pet path. Was already sprouting.
2019 spring - noticed a white garden hyacinth growing in the sedges around the mossy area/bedroom garden. ",,,,,,,,,,,,,,,6/25/2021 8:34am,,,,
Gypsy Queen hyacinth    1927,Have,3,"""Gypsy Queen hyacinth    1927 (OSB, 9)"",""Gypsy Queen hyacinth    1927 (OSB, 10)"",""Gypsy Queen hyacinth    1927 (OSB, 11)""",Selection,Hyacinthus orientalis 'Gypsy Queen',Liliaceae: Hyacinthus orientalis (hyacinth),heirloom,,,,,,Cultivar,landscaping,,,,"Old House Gardens: Gypsy Queen hyacinth    1927
Blooms mid spring    10-12”
“If I could grow only one hyacinth,” wrote Rand Lee in The American Cottage Gardener, “it would be this.” He praised its “luminous” apricot color, the “melon undertone” of its “considerable fragrance,” and how it “naturalizes effortlessly” in his dry, zone-6a Santa Fe garden. 10-12”, zones 5a-8a(10bWC), from Holland.",,,,gypsy.png (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/KjmvW5b3kADsZXVvqOFYeg/ocWqUxjWN2fHk7BUyUcypWr9j8WX5gSPuIJit9egos_vY0xJu-Y5miU1mSPuDAoPYJV0mMDLrDSFYPhBKsDpoAUCOonyVqHy8wsf8aGg5PYiZfsHxahgNA7iRSZsWsYpvF6cYXkl4jDT4bZ6uqkkPw/mkD3DvNx1ZtMBMJn4TECTET9jWKXYZLn-qrhnEPeQhQ),,,,,,,,,5/5/2024 5:25pm,,,,
Roman Pink Hyacinth,Have,1,"""Roman Pink Hyacinth (OSB, 12)""",Clone,Hyancinthus orientalis var. albulus,Liliaceae: Hyacinthus orientalis (hyacinth),heirloom,,,,,,Cultivar,landscaping,,,,"Roman Pink hyacinth    1573
Rarest
Blooms mid spring    8-10”
Like all true Roman hyacinths, this soft pink charmer is fragrant, graceful, and – maybe best of all – it will multiply into a clump that gets bigger and more beautiful every year. A little less cold-hardy than regular hyacinths – zones 6a-8a(10bWC), 8-10”, from the Hortus Bulborum. https://hortus-bulborum.nl/?lang=en",,,,roman.png (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/CzJyATJyZdpxgTO044DFZg/O5-G2BCuCNaY9TqUmarGZtPmfBYxsrhAUpBE7GY3FsIUbKUcKD1RneeVGfMxScJ3obyXRcZTmGAtmqWP9f_wXC0SFRXPO9kclmgS8FdkrXsLRa6ZHvAwQGnZoP7Quaq_-kbxNiGFl1cfmxPjWfJgZQ/N1Ci_zFIe0IwqUp2tvGHCGIV351TGxCQ2HBHAueuKF4),,,,,,,,,5/5/2024 5:25pm,,,,
Lilium canadense (Canada lily),Interesting,0,,Species,Lilium canadense,Liliaceae: Lilium spp (native),species,,,,,,,,,,,See https://www.edelweissperennials.com/lilium-canadense-var-coccineum-br for a red variety  https://www.heritageflowerfarm.com/?s=lilium ,,,,,,,,,,,,,3/21/2022 11:03am,,,,
  Lilium michauxii  (Carolina lily),Interesting,0,,Species,Lilium michauxii  ,Liliaceae: Lilium spp (native),species,,,,,,,,,,,"https://www.growingwildnursery.com/products/lilium-michauxii?variant=32370914754648 $25 one OOS + 2022-03-21 -
https://www.nearlynativenursery.com/PlantsDetail.cfm?ID=746 ",,,,,,,,,,,,,3/21/2022 10:49am,,,,
Lilium philadelphicum (Northern wood lily),Interesting,0,,Species,Lilium philadelphicum,Liliaceae: Lilium spp (native),species,,,,,,,,,,,"https://plants.ces.ncsu.edu/plants/lilium-philadelphicum/
https://www.blazingstargardens.com/plants/p/prairie-lily-lilium-philadelphicum  3 for $24, OOS + 2022-03-21 ",,,,,,,,,,,,,3/21/2022 10:34am,,,,
American turk’s-cap lily,Have,2,"""American turk’s-cap lily (OSB, 13)"",""American turk’s-cap lily (DEAD, 14)""",Species,Lilium superbum,Liliaceae: Lilium spp (native),species,,,,,,NC,"naturalizing,landscaping",,,,"Lilium superbum lily    1665
5-8’ — FEET — tall
The American turk’s-cap lily is one of our most impressive natives, growing in moist meadows from Massachusetts to Indiana and Alabama. In 1665 John Rea called it the “Virginia Martagon,” and in 1738 colonial botanist John Bartram sent it to his “brothers of the spade” in London where it caused a sensation. A challenge to grow, it demands well-drained, acid soil and plenty of moisture. 5-8 feet, zones 4b-8b(10bWC), from North Carolina. Chart and care.",,,,,,,,,,,,,5/5/2024 5:27pm,,,,
Yellow spider lily,Interesting,0,,Species,Lycoris aurea,Liliaceae: Lycoris spp,heirloom,,,,,,Asia,red S berm section,,,,https://www.southernbulbs.com/yellow-spider-lily-lycoris-aurea-5-bulbs/,,,,Screen Shot 2021-07-04 at 19.28.27.png (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/-2HTPYQ-moduaocy_y1JUA/QMAn4hwX8RFaOIu3hP-RwCxmolJH16v7w6GJcWLOtC6uj3iopwbnPjPCm2EPP1dCRhOBBSgj9CZN3XKbmfxTXSYUtf01GRmJOF_T_nO9RBaIgTelg4C4rc9PsKPBMsFW--48EhfIdpT08CZhPf7SNf5V0KZC5CnlZfo_IfIGi1M/9Jfa4T2qg7_MDqHGT2-sMNYS96j6xKUgwN6SFMsW9a0),,,,,,,,,7/4/2021 7:29pm,,,,
Red spider lily,Have,3,"""Red spider lily (OSB, 43)"",""Red spider lily (OSB, 44)"",""Red spider lily (OSB, 45)""",Species,Lycoris radiata var. radiata,Liliaceae: Lycoris spp,heirloom,,,,,,Asia,red S berm section,,,,"Looks glorious with yellow spider lilies (omg!) and lower growing purple asters.

http://www.namethatplant.net/plantdetail.shtml?plant=3530

This is the original Southern heirloom – a triploid, which gives it extra vigor – not the smaller, earlier-blooming Japanese diploid that most sources offer today. Legend has it that it was introduced into New Bern, NC, by a US Navy captain in the 1850s and spread across the country from there. With clusters of exotic, coral-red flowers, it lights up the late summer garden like fireworks, even in light shade. 18-24”, zones 7a-10b, from Texas and Louisiana. Chart and care. - old house gardens",,Red spider lily@Old House Gardens,,,,,,,,,,,5/5/2024 5:25pm,,,,
"Earliest truncate  2W-Y(butter) perianth: double triangle, spreading, twisting, ovate, truncate; corola: bowl ribbed straight frilled flanged crenate",Have,0,,,,Liliaceae: Narcissus spp,,,,,,,,,,,,,,,,,,,,,,,,,3/4/2022 8:34am,,,,
Carleton 2Y-Y (Earliest from 201909 B&B order),Have,0,,,Narcissus spp,Liliaceae: Narcissus spp,heirloom,,,,,,,,,,,"Early https://www.brentandbeckysbulbs.com/Narcissus/Carlton/Daffodil
Cultivar: Carlton
Family: Amaryllidaceae
Nickname: Daffodil
Bloomtime: Early Spring
Color: Yellow
Sun: Full Sun
Height: 13"" - 18""
Narcissus: Division 2 – Large Cup
Carlton - (2 Y-Y) the world's 2nd most numerous daffodil and one of the best perennializers especially in the South; two-toned yellow, with a vanilla-like fragrance; 1927; 14""-16""; early-spring.",,,,,,,,,,,,,3/4/2022 11:59am,,,,
"Earliest mucronate 2W-Y(butter) perinath: double triangle, spreading, twisting, ovate, prominantly mucronate; corola: bowl ribbed straight frilled flanged crenate",Have,1,"""""""Earliest mucronate 2W-Y(butter) perinath: double triangle, spreading, twisting, ovate, prominantly mucronate; corola: bowl ribbed straight frilled flanged crenate"""" (OCoffDeck, 198)""",,Narcissus spp,Liliaceae: Narcissus spp,,,,,,,,,,,,,,,,,,,,,,,,,3/4/2022 8:35am,,,,
Early with dark yellow center 2Y ,Have,0,,,Narcissus spp,Liliaceae: Narcissus spp,,,,,,,,,,,,,,,,,,,,,,,,,3/4/2022 8:31am,,,,
Early with orange center 2Y-YOO,Have,0,,,Narcissus spp,Liliaceae: Narcissus spp,,,,,,,,,,,,,,,,,,,,,,,,,3/4/2022 8:26am,,,,
"Orange Phoenix, Eggs & Bacon daffodil ",Interesting,0,,Clone,Narcissus x,Liliaceae: Narcissus spp,heirloom,,,,,,Cultivar,gold and rose berm,,,,"https://oldhousegardens.com/display/category/BackSoonDaffodil?bulb=DA78#! 
ORANGE PHOENIX, EGGS & BACON, 1731
- Good for the south, https://oldhousegardens.com/HeatLovingDaffodils
- http://southernedition.com/DaffodilsinEarlySouthernGardens.html
",,,,,,,,,,,,,5/5/2024 5:31pm,,,,
Polygonatum Biflorum (Smooth Solomon's Seal),Have,1,"""Polygonatum Biflorum (Smooth Solomon's Seal) (GSb-E, 258)""",Species,Polygonatum Biflorum ,Liliaceae: Polygonatum Biflorum,species,,,,,,,,,,,,,,,,,,,,,,,,5/8/2024 7:21am,,,,
Ox blood lily,Have,1,"""Ox blood lily (OSB, 42)""",Species,Rhodophiala bifida,Liliaceae: Rhodophiala bifida,species,,,,,,Americas,red S berm section,,,,"Also called hurricane and schoolhouse lilies, these brilliant heirlooms look like short, slender, blood-red amaryllises. Extra tough, they thrive in clay or sand and often mark abandoned homesites. They were introduced from the Andes in 1807, brought to Texas by German settlers about 1865, and were offered by the Lily Nursery of Jacksonville, Florida, by 1881. Ours is the true ‘Hill Country Red’ heirloom, formerly Amaryllis advena, Habranthus hesperius, and Hippeastrum advenum, 12-18”, zones 7a-10b, from Texas -- Old House Gardens ",,Ox blood lily@Old House Gardens,,,,,,,,,,,5/5/2024 5:25pm,,,,
"
Melanthium virginicum (Virginia Bunchflower)
",Interesting,0,,Species,Veratrum virginicum,Liliaceae: Veratrum spp (false hellebore),species,,,,,,NC - Piedmont,naturalizing,,,," —-  , 2-5 ft. high, NCBG germ code:  ||  ",NCBG 2022 Seed offer,,,,,,,,,,,,5/5/2024 5:32pm,,,,
Zephyranthes atamasca (rain lily),Have,1,"""Zephyranthes atamasca (rain lily) (Rain, 123)""",Species,Zephyranthes atamasca,Liliaceae: Zephyranthes spp,species,,,,,,Chatham,"landscaping,rain garden",,"2021042X second flush, eight blossoms, blooming
20190901 found thread-y leaves in appropriate  Rain garden location
20190314 am deer ate the Amaryllidaceae-Amaryllidoideae: Zephyranthes atamasco (rain lily) blossom;
20190218 planted  Amaryllidaceae-Amaryllidoideae: Zephyranthes atamasco (rain lily) in rain garden towards driveway - west most end of the south bed.
20190209 Mail Order Natives Order LOC Rain garden $8 Arrived with a bud and two bulbs. ",,"http://www.mailordernatives.com/zephyranthes-atamasco-rain-lily-easter-lily/#product-tab-description “pints available” 

The nearly unnoticeable short, round, green, pencil-thin foliage appears in early spring, but it's not until mid-April when the 3"" wide pure white flowers open on top of 10"" stems that you really take notice. After a month, the flowering stops and the foliage again blends into the background. It prefers a damp, even boggy, site for best results. https://www.plantdelights.com/products/zephyranthes-atamasca

Perennial Forb/herb, 6-8 in. high, NCBG germ code: 1 || SOIL MOISTURE: Dry, Average, Moist/Wet
LIGHT EXPOSURE: Sun, Part Shade, Shade
MINIMUM HARDINESS ZONE: 7
MAXIMUM HARDINESS ZONE: 10
GERMINATION CODE: 1
WILDLIFE VALUE: Bee Friendly, Butterfly Friendly
DEER RESISTANCE: ",,,,,,,,,,,,,1/29/2022 12:21pm,,,,
Spigelia marilandica 'Little Redhead',Have,1,"""Spigelia marilandica 'Little Redhead' (OSB, 260)""",Selection,Spigelia marilandica,Loganiaceae: Spigelia marilandica,,,,,,,NC - Nativar,red S berm section,,,,"Spigelia is underutilized in the landscape due to limited availability, but it's poised to make an explosion in popularity. Why? It's a very versatile perennial-it grows naturally in either sun or shade. This perennial can be found growing in the wild in woodlands and along streambanks throughout the Eastern United States. It's wildly popular among wildflower enthusiasts and highly sought after.

'Little Redhead' is a superior selection of the species, vegetatively propagated to ensure uniformity. Dark red tubular flowers with yellow interiors are produced above top of an upright clump of dark green, wedge-shaped leaves. Everyone who has seen this variety has loved it. This genus requires good drainage to thrive, so do not plant in areas with standing water.",,Spigelia marilandica 'Little Redhead'@New Garden,,,,,,,,,,,5/5/2024 6:50pm,,,,
Spigelia marilandica (Indian Pink),Interesting,0,,Species,Spigelia marilandica,Loganiaceae: Spigelia marilandica,species,,,,,,NC,red S berm section,,,,"Bloom time per MBot June, plant delights ""late spring""
~1.5' hxw
Sun: Part shade to full shade
indian pink
SPMA3
http://www.namethatplant.net/plantdetail.shtml?plant=1451
not particularly native to NC piedmont, but a reasonable south east native, apparently.
http://davesgarden.com/guides/pf/go/48891/

For Sunny flower bed (at back, in semi shade) 
$16 qt Niche
$10 qt Nearly Native in GA
not at prai
rie moon, https://sheffields.com",,"Spigelia marilandica (Indian Pink)@Plant Delights,Spigelia marilandica (Indian Pink)@Mail Order Natives,Spigelia marilandica (Indian Pink)@Gurney",,,,,,,,,,,7/9/2021 5:59pm,,,,
Liriodendron tulipifera,Have,3,"""Liriodendron tulipifera (Other, 31)"",""Liriodendron tulipifera (OCpicnic, 32)"",""Liriodendron tulipifera (OSB, 33)""",Species,Liriodendron tulipifera,Magnoliaceae: Liriodendron tulipifera (Tulip poplar),species,,,,,,Chatham,tree,,,,"coppicing:
https://www.srs.fs.usda.gov/pubs/gtr/gtr_srs212/gtr_srs212_066.pdf

Thus, 64 percent of the yellow-poplar trees were thinned manually with a chainsaw on June 5-6, 2013.
Two growing seasons following thinning, yellow-poplar coppice averaged 4.9-feet tall with 4.2 sprouts per stump (table 1). The range of coppice heights was 2 to 7.5 feet. Seven percent of the thinned stumps did not sprout or coppice.

white-tailed deer often browse on the twigs. https://plants.usda.gov/factsheet/pdf/fs_litu.pdf",,,,TulipPoplar.pdf (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/ziF8tE5tBvpe-joYh16wwA/-dHoZKbEtuta9WYAGgeGzFvrUvmzGgcIDe1Id67-eKdauf5n5PNil-1a67TGEW-IM3zod7euXIYkv2q5EvjbUAexRAgIDI3xbG0SYLCV5TofYrxNNqfJzv_kFS6T-MbJSzKgMXKj-AxfcBc5awuVdQ/_ooWh6XS_50dVkLVPLqECudAh23uDR57cWkqhEEs82Q),,,,,,,,,7/2/2021 6:11pm,,,,
Magnolia × soulangeana (saucer magnolia),Have,1,"""Magnolia × soulangeana (saucer magnolia) (FrtW, 30)""",Hybrid,Magnolia × soulangeana (saucer magnolia),Magnoliaceae: Magnolia spp,unknown,,,,,,Cultivar,landscaping,,,,,,,,,,,,,,,,,7/2/2021 3:59pm,,,,
Sweetbay magnolia,Lost,1,"""Sweetbay magnolia (DEAD, 128)""",Species,Magnolia virginiana,Magnoliaceae: Magnolia spp,species,,,,,,NC,"evergreen,naturalizing,deer browse",,,,"https://plants.ces.ncsu.edu/plants/magnolia-virginiana/ Foliage and twigs are eaten by white-tailed deer in winter. 
https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=e110
",,Sweetbay magnolia@CFH2021MM,,,,,,,,,,,5/5/2024 5:29pm,,,,
Callirhoe involucrata (Purple Poppy Mallow),Have,1,"""Callirhoe involucrata (Purple Poppy Mallow) (GHpot, 55)""",Species,Callirhoe involucrata,Malvaceae: Callirhoe Involucrata,species,,,,,,,,,,,,,,,,,,,,,,,,7/5/2021 6:49pm,,,,
Hibiscus coccineus (Scarlet rose mallow),Have,1,"""Hibiscus coccineus (Scarlet rose mallow) (OCoffDeck, 91)""",Species,Hibiscus coccineus,Malvaceae: Hibiscus coccineus (Scarlet rosemallow),species,,,,,,NC,"landscaping,naturalizing,rain garden,deer browse",,"2017042x: no success, cooked the seed?
20170406 covered seed starting bed for Malvaceae: Hibiscus coccineus (Scarlet rosemallow) after soak in warm water

2016 winter: collected seeds from pollinator garden at co-op",,https://plants.usda.gov/home/plantProfile?symbol=HICO2,"Dutch Buffalo Farm list 2022, with origin code 3",Hibiscus coccineus (Scarlet rose mallow)@Dutch Buffalo Farm,,,,,,,,,,,1/6/2022 3:49pm,,,,
Hibiscus moscheutos,Interesting,2,"""Luna Mix Hibiscus, Hibiscus moscheutos (OCFN, OCFNWc, 92)"",""Luna Mix Hibiscus, Hibiscus moscheutos (Rain, 93)""",Species,Hibiscus moscheutos,Malvaceae: Hibiscus moscheutos,species,,,,,,Chatham,"landscaping,naturalizing,rain garden,deer browse",,"Sheffield seed failure:
20170406 seed starting (covered) bed for Malvaceae: Hibiscus moscheutos var. palustris; start after 24 h soak

20170102-S-1158138 Sheffields $45.75
1 pkt (58 seeds)Collection Locale: North Carolina;Crop Year: 2012
Scarification: Soak in water, let stand in water for 24 hours.
Stratification: none required.
Germination: sow seed 1/16"" deep, tamp the soil, mulch the seed bed.
Other: Seed needs warm temperatures after sowing to germinate (75 degrees F +).",,,,,,,,,,,,,,,5/5/2024 5:31pm,,,,
Luna Mix Hibiscus,Have,2,"""Luna Mix Hibiscus, Hibiscus moscheutos (OCFN, OCFNWc, 92)"",""Luna Mix Hibiscus, Hibiscus moscheutos (Rain, 93)""",Selection,Hibiscus moscheutos,Malvaceae: Hibiscus moscheutos,unknown,,,,,,,,,"2021 Some combination of herbivory (white) and weed pressure (rose)

2020 both had a lovely blooming period in the rain garden (while garden fenced. Not sure how much the deer would eat them). NW corner plant white, southeast a more purple than red, clashes with cardinal flower. QV Malvaceae: Hibiscus moscheutos -- Wishlist Red flower

20190902 two plants have survived from the five seeds. Planted in LOC Rain garden One has a bud.

20180804 Swallowtail Order",,,,,,,,,,,,,,,10/11/2021 6:49am,,,,
